city,total_orders,total_revenue
KOPPAL,14,8743.0
SATHUPALLY,10,8722.0
PALWAL,13,8646.0
MANDLA,12,8646.0
BHADRAK,12,8640.0
SANGAMNER,11,8624.0
MARALIA,11,8621.72
RANGIA,11,8601.79
KANJIRAPPALLY,12,8600.71
UNA,15,8599.25
BONGAIGAON,15,8566.29
DALTONGANJ,16,8549.24
Shimoga,12,8541.0
RANEBENNUR,18,8508.48
Edapally,12,8500.0
faridabad,11,8488.0
RANIKHET,14,8463.96
ghaziabad,14,8454.33
HSIIDC SOHNA,16,8441.14
NAKODAR,13,8436.0
DOMBIVLI,12,8428.76
Barrackpore,11,8411.1
secunderabad,19,8411.0
Teh. Phagwara Distt. Kapurthala,11,8383.0
Mandi,9,8361.0
MANESAR,11,8350.0
Berhampur,17,8342.0
CORBETT,12,8337.0
JASHPURNAGAR,14,8328.53
MAHAD,12,8301.0
NARASIMHANAICKENPALAYAM,16,8299.0
HALDWANI,12,8259.0
BHAWANIPATNA,12,8254.0
PEDDAPALLE,14,8249.0
NALBARI,11,8247.19
Amravati,10,8244.0
Nagaon,15,8241.67
ACHAMPET,10,8203.29
CHIRAWA,11,8198.0
MUDBIDRI,14,8197.0
JOGABANI,10,8167.0
KAVALI,15,8165.0
MANALI,11,8145.0
TIRUPATHUR VELLORE DISTRICT,12,8100.0
DHARUHERA,11,8082.24
Agartala,13,8058.0
VENKATAGIRI,9,8036.0
VYARA,11,8034.0
TANUKU,16,8031.0
CHANDANNAGAR,15,8028.0
VASAI,13,8010.33
Shimla,11,8008.0
NEW RAIPUR,11,8007.82
GUNTAKAL,11,8002.0
CHITTUR THATHAMANGALAM,12,7999.0
PALAMANER,13,7970.0
ADAMPUR,10,7964.0
Nanded,13,7961.62
Ongole,16,7946.0
PURULIYA,11,7939.0
GUDIYATHAM,13,7931.0
KUNDAPURA,11,7929.8099999999995
New Town,12,7924.0
Silvassa,12,7919.48
Aurangabad,12,7919.0
Ludhiana,11,7913.9
HAJIPUR,9,7876.5
NEYYATTINKARA,15,7866.0
Nagercoil,17,7863.71
JORETHANG,10,7854.0
ABU ROAD,12,7843.29
BHADRAVATI,14,7822.0
Kadapa,12,7821.29
CHAMARAJANAGAR,12,7816.0
DIU,16,7811.0
BENGALURU 560037,8,7788.0
Bareilly,12,7787.8099999999995
SINGRAULI,12,7786.0
Azamgarh,12,7778.0
VIJAY PORE,9,7777.43
PARBHANI,11,7769.0
UNCHAHAR,12,7765.0
JAMUHAN,8,7758.0
AMROHA,12,7752.0
Nizamabad,12,7751.0
KALKA,11,7739.48
visakhapatnam,12,7726.0
VAZHAKKALA,14,7722.0
IDAR,9,7707.96
VERNA,13,7700.57
Irinjalakuda,11,7696.0
Sangareddy,11,7689.38
THOTTADA,15,7688.0
WALUJ MIDC,11,7681.0
MUMBAI 400102,10,7648.0
GANGAWATI,11,7644.1900000000005
MANNARGUDI,13,7641.1
JAGATSINGHAPUR,10,7617.43
KARORAN,12,7606.0
navi mumbai,10,7581.0
PUNNAPARA,16,7579.28
EAST GODAVARI,10,7566.95
TIRURANGADI,8,7566.71
GODHRA,11,7560.0
JEHANABAD,9,7537.0
CUNCOLIM,16,7517.33
JHAJJAR,10,7517.0
DOIWALA,11,7496.0
KARIVELLUR,15,7475.58
Virar West,13,7465.29
Bathinda,10,7450.0
Trichy,12,7422.0
RANIPETTAI,13,7411.0
PAKAUR,12,7408.0
Aligarh,11,7403.1900000000005
KUSHALANAGARA,13,7400.95
Hassan,10,7386.67
Secundrabad,10,7371.0
KUNNAMKULAM,11,7344.0
RAWATBHATA,10,7337.48
MARAIMALAINAGAR,12,7336.0
SAHARSA,10,7319.0
HUBLI,11,7311.0
TARANAGAR,7,7303.57
Vasai,10,7292.0
RAYADURG,9,7257.1
PALLIKKUNNU,13,7247.29
HATHRAS,11,7241.48
NAJIBABAD,8,7228.0
OOTY,9,7222.48
Khammam,11,7221.0
BAMBOOFLAT,10,7208.24
Vikarabad,15,7200.0
BUDGE BUDGE,10,7197.0
KHURJA,11,7193.36
MAYILADUTHURAI,12,7180.0
GARULIA,8,7178.24
ANANDPUR SAHIB,7,7172.0
BUCHIREDDIPALEM,15,7168.72
NALLUR KANNIYAKUMARI DISTRICT,11,7168.1
DEHRI ON SONE,7,7164.0
RAMGARH CANTONMENT CIVIL TOWNSHIP,10,7162.0
MHOW,13,7148.38
BANGAON,11,7140.0
ORAGADAM INDUSTRIAL AREA,9,7134.0
HOSHANGABAD,9,7132.0
TUMSAR,10,7129.57
SIDCUL HARIDWAR,15,7119.0
"Karukachal, kottayam",12,7109.0
NTPC KANIHA TOWNSHIP,8,7098.0
Naharlagun,8,7096.0
RIICO INDUSTRIAL AREA NEEMRANA,10,7095.27
GURUVAYUR,13,7085.29
FARIDPUR BAREILLY DISTRICT,8,7084.0
INDUSTRIAL PARK NAIDUPET,9,7068.29
RAJAPALAYAM VIRUDHUNAGAR DISTRICT,11,7066.0
KHALILABAD,9,7057.96
SHAHAPUR THANE DISTRICT,13,7045.0
KANCHRAPARA,11,7041.43
Ropar,12,7040.0
WANAPARTHY,12,6996.0
Dombivli east,12,6957.0
SAMBA,10,6955.69
TALIPARAMBA,11,6951.0
TINDIVANAM,11,6927.8099999999995
CHERUTHAZHAM,11,6919.95
DHAMPUR,9,6913.0
CHANDAUSI,10,6909.0
Thoothukudi,8,6906.39
Churu,7,6906.280000000001
SHRIRAMPUR,11,6887.0
